Agency,County,Description,Image,Name,Price
West Usa Realty,Ahwatukee,"Phoenix, AZ 85044",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4044 E Walatowa Street,"$439,000"
Realty One Group,Ahwatukee,"Phoenix, AZ 85048",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,1324 E Rock Wren Road,"$650,000"
Libertas Real Estate,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,43005 N 7th Street,"$999,900"
Howe Realty,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4913 W Magellan Drive,"$999,000"
Desert Dream Realty,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,127 E Sabrosa Drive,"$924,900"
RE/MAX Casa Grande,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,47012 N New River Road,"$899,900"
"Daisy Dream Homes Real Estate, Llc",New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4823 W Carpenter Drive,"$899,900"
Homesmart,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,43717 N 11th Avenue,"$890,000"
Coldwell Banker Realty,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,42811 N 11th Avenue,"$889,900"
Delex Realty,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,48321 N 15th Avenue,"$800,000"
Realty Executives,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,43845 N Ericson Lane,"$799,900"
A.Z. & Associates,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,48205 N 33rd Avenue,"$799,000"
Berkshire Hathaway Homeservices Arizona Properties,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4814 W Carpenter Drive,"$799,000"
Exp Realty,New River,"New River, AZ 85087",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,45431 N 6th Street,"$799,000"
My Home Group Real Estate,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,42702 N Us Highway 60,"$900,000"
Realty One Group,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,38032 N 251st Avenue,"$575,000"
Homesmart,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,42006 N 253rd Lane,"$598,500"
RE/MAX Professionals,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,44207 N Highway 60 Highway,"$285,000"
RE/MAX Professionals,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,44125 N Highway 60 Highway,"$255,000"
Exit Realty Living,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,45535 W San Domingo Trail,"$511,000"
Arizona Legends Realty,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,26938 W Rising Star Way,"$895,000"
Realty One Group,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,40812 N 251 Avenue,"$598,900"
Keller Williams Arizona Realty,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,197 Peretz Circle,"$348,750"
My Home Group Real Estate,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,40514 N 251st Avenue,"$450,000"
Platinum Living Realty,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,37931 N 251st Avenue,"$649,500"
West Usa Realty,Morristown,"Morristown, AZ 85342",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,25425 W Opportunity Way,"$448,900"
Keller Williams Realty East Valley,Mesa,"Mesa, AZ 85205",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,1550 N 40th Street #14,"$4,999,997"
"Lra Real Estate Group, Llc",Mesa,"Mesa, AZ 85213",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,1711 N Val Vista Drive,"$4,900,000"
